T1,CMGMM,ADWIN,45,0.1,1e-05,2,0.8362,0.8400272674816122,69.73884129524231,27
T1,CMGMM,ADWIN,45,0.1,1e-05,3,0.8066,0.813638997820786,70.03477501869202,21
T1,CMGMM,ADWIN,45,0.1,1e-05,4,0.5857333333333333,0.5920653948840736,68.83092927932739,10
T1,CMGMM,ADWIN,45,0.1,1e-05,5,0.4448666666666667,0.4508407204745739,68.90509676933289,3
T1,CMGMM,ADWIN,45,0.1,1e-05,6,0.4108,0.41713125709780746,67.40398836135864,0
T1,CMGMM,ADWIN,45,0.05,1e-05,2,0.8376666666666667,0.8427402184117979,69.75686740875244,25
T1,CMGMM,ADWIN,45,0.05,1e-05,3,0.7838,0.7853877082673119,69.89308166503906,19
T1,CMGMM,ADWIN,45,0.05,1e-05,4,0.5568,0.5640401518862047,69.89523816108704,9
T1,CMGMM,ADWIN,45,0.05,1e-05,5,0.44106666666666666,0.45717013672288087,66.06510543823242,3
T1,CMGMM,ADWIN,45,0.05,1e-05,6,0.4010666666666667,0.4155413773342064,67.06186294555664,0
T1,CMGMM,ADWIN,45,0.01,1e-05,2,0.8371333333333333,0.8427860817097119,69.98256659507751,26
T1,CMGMM,ADWIN,45,0.01,1e-05,3,0.8085333333333333,0.8157765928002845,71.49292159080505,23
T1,CMGMM,ADWIN,45,0.01,1e-05,4,0.5754,0.575705744874575,67.1671953201294,10
T1,CMGMM,ADWIN,45,0.01,1e-05,5,0.4576,0.4621109216232637,67.97264623641968,3
T1,CMGMM,ADWIN,45,0.01,1e-05,6,0.39086666666666664,0.39883754705681296,67.61294889450073,0
T1,CMGMM,ADWIN,45,0.005,1e-05,2,0.838,0.8431280696187887,69.72067952156067,27
T1,CMGMM,ADWIN,45,0.005,1e-05,3,0.8154,0.8215313541925596,69.06466698646545,22
T1,CMGMM,ADWIN,45,0.005,1e-05,4,0.5242,0.5312478847017198,67.27256107330322,7
T1,CMGMM,ADWIN,45,0.005,1e-05,5,0.4478,0.4505144398286536,68.0159420967102,4
T1,CMGMM,ADWIN,45,0.005,1e-05,6,0.4026,0.4124214756090288,67.02145957946777,0
T1,CMGMM,ADWIN,45,0.001,1e-05,2,0.8228666666666666,0.8284612033555413,69.26960039138794,24
T1,CMGMM,ADWIN,45,0.001,1e-05,3,0.8174,0.8243437872552231,69.81439542770386,20
T1,CMGMM,ADWIN,45,0.001,1e-05,4,0.5613333333333334,0.5645979083637749,68.9564356803894,8
T1,CMGMM,ADWIN,45,0.001,1e-05,5,0.4537333333333333,0.4621262887445701,66.960613489151,4
T1,CMGMM,ADWIN,45,0.001,1e-05,6,0.40786666666666666,0.41652052474130113,67.81058645248413,0
T1,CMGMM,ADWIN,45,0.0005,1e-05,2,0.838,0.8424089510706178,70.53738284111023,27
T1,CMGMM,ADWIN,45,0.0005,1e-05,3,0.8118666666666666,0.8184982824810629,68.50143146514893,20
T1,CMGMM,ADWIN,45,0.0005,1e-05,4,0.5858666666666666,0.6011754509055864,67.95701265335083,10
T1,CMGMM,ADWIN,45,0.0005,1e-05,5,0.44913333333333333,0.45924220436391583,68.79749536514282,2
T1,CMGMM,ADWIN,45,0.0005,1e-05,6,0.4105333333333333,0.4176775938530879,68.4608907699585,0
T1,CMGMM,ADWIN,45,0.0001,1e-05,2,0.8378666666666666,0.842337440126792,69.89396572113037,26
T1,CMGMM,ADWIN,45,0.0001,1e-05,3,0.8104666666666667,0.8173292494617692,69.94969582557678,23
T1,CMGMM,ADWIN,45,0.0001,1e-05,4,0.6182666666666666,0.6228744332469749,69.47673964500427,12
T1,CMGMM,ADWIN,45,0.0001,1e-05,5,0.46553333333333335,0.4670560723593293,67.54324769973755,4
T1,CMGMM,ADWIN,45,0.0001,1e-05,6,0.38326666666666664,0.39469146460308774,68.56954979896545,0
T1,CMGMM,ADWIN,50,0.1,1e-05,2,0.8401333333333333,0.8453722690430285,71.34712791442871,26
T1,CMGMM,ADWIN,50,0.1,1e-05,3,0.7724,0.775430072023153,69.18038558959961,18
T1,CMGMM,ADWIN,50,0.1,1e-05,4,0.5692,0.5852412560555182,68.42209196090698,9
T1,CMGMM,ADWIN,50,0.1,1e-05,5,0.46586666666666665,0.4683268941121067,69.00556945800781,4
T1,CMGMM,ADWIN,50,0.1,1e-05,6,0.4006,0.40620472686166853,66.97699117660522,0
T1,CMGMM,ADWIN,50,0.05,1e-05,2,0.8296666666666667,0.8360519138237089,69.59446239471436,26
T1,CMGMM,ADWIN,50,0.05,1e-05,3,0.8113333333333334,0.8175763413722674,69.42359828948975,20
T1,CMGMM,ADWIN,50,0.05,1e-05,4,0.5974,0.6106606161695033,69.19325757026672,9
T1,CMGMM,ADWIN,50,0.05,1e-05,5,0.46013333333333334,0.4600595139259359,66.54732179641724,2
T1,CMGMM,ADWIN,50,0.05,1e-05,6,0.39626666666666666,0.41039021213321875,68.1724841594696,0
T1,CMGMM,ADWIN,50,0.01,1e-05,2,0.8422666666666667,0.8473671836249659,68.0203366279602,28
T1,CMGMM,ADWIN,50,0.01,1e-05,3,0.8126,0.8189623178034321,69.38487648963928,23
T1,CMGMM,ADWIN,50,0.01,1e-05,4,0.5321333333333333,0.5373342981411489,68.98386478424072,9
T1,CMGMM,ADWIN,50,0.01,1e-05,5,0.4248,0.4432387553183373,66.03697037696838,3
T1,CMGMM,ADWIN,50,0.01,1e-05,6,0.4089333333333333,0.4123916720379984,66.99524521827698,0
T1,CMGMM,ADWIN,50,0.005,1e-05,2,0.8371333333333333,0.8431629226738874,68.9257881641388,26
